waveform,modulation,receiver_mode,stress_profile,robust_usable_threshold_snr_db,usable_snr_points,total_snr_points,average_ber_all_snr,average_accuracy_all_snr,average_success_rate_all_snr,average_preamble_match_rate_all_snr,average_abs_frequency_correction_error_ppm,worst_ber,best_ber
chirp,fsk,adaptive_drift,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0
chirp,fsk,adaptive_drift,combined_drift_timing,8.0,1,4,0.08203125,0.91796875,0.25,1.0,375.0,0.125,0.0078125
chirp,fsk,adaptive_drift,moderate_negative_drift,not_reached,0,4,0.06640625,0.93359375,0.0,1.0,450.0,0.125,0.0234375
chirp,fsk,adaptive_drift,moderate_positive_drift,not_reached,0,4,0.091796875,0.908203125,0.0,1.0,450.0,0.1640625,0.0234375
chirp,fsk,adaptive_drift,severe_positive_drift,not_reached,0,4,0.076171875,0.923828125,0.0,1.0,750.0,0.1328125,0.0234375
chirp,fsk,coarse_sync,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0
chirp,fsk,coarse_sync,combined_drift_timing,8.0,1,4,0.06640625,0.93359375,0.25,1.0,225.0,0.1328125,0.0
chirp,fsk,coarse_sync,moderate_negative_drift,not_reached,0,4,0.08203125,0.91796875,0.0,1.0,450.0,0.109375,0.0546875
chirp,fsk,coarse_sync,moderate_positive_drift,not_reached,0,4,0.04296875,0.95703125,0.0,1.0,450.0,0.078125,0.0234375
chirp,fsk,coarse_sync,severe_positive_drift,not_reached,0,4,0.08984375,0.91015625,0.0,1.0,750.0,0.1328125,0.0390625
chirp,fsk,raw_no_sync,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0
chirp,fsk,raw_no_sync,combined_drift_timing,not_reached,0,4,0.08984375,0.91015625,0.0,0.0,450.0,0.1015625,0.078125
chirp,fsk,raw_no_sync,moderate_negative_drift,not_reached,0,4,0.0859375,0.9140625,0.0,1.0,450.0,0.1328125,0.0625
chirp,fsk,raw_no_sync,moderate_positive_drift,not_reached,0,4,0.068359375,0.931640625,0.0,1.0,450.0,0.1328125,0.03125
chirp,fsk,raw_no_sync,severe_positive_drift,not_reached,0,4,0.091796875,0.908203125,0.0,1.0,750.0,0.15625,0.0546875
chirp,psk,adaptive_drift,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0
chirp,psk,adaptive_drift,combined_drift_timing,not_reached,0,4,0.37109375,0.62890625,0.0,1.0,525.0,0.5546875,0.296875
chirp,psk,adaptive_drift,moderate_negative_drift,not_reached,0,4,0.6640625,0.3359375,0.0,1.0,450.0,0.6875,0.6484375
chirp,psk,adaptive_drift,moderate_positive_drift,not_reached,0,4,0.65234375,0.34765625,0.0,1.0,450.0,0.65625,0.6484375
chirp,psk,adaptive_drift,severe_positive_drift,not_reached,0,4,0.5546875,0.4453125,0.0,1.0,750.0,0.5703125,0.53125
chirp,psk,coarse_sync,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0
chirp,psk,coarse_sync,combined_drift_timing,not_reached,0,4,0.353515625,0.646484375,0.0,1.0,562.5,0.5,0.296875
chirp,psk,coarse_sync,moderate_negative_drift,not_reached,0,4,0.646484375,0.353515625,0.0,1.0,450.0,0.6640625,0.6328125
chirp,psk,coarse_sync,moderate_positive_drift,not_reached,0,4,0.646484375,0.353515625,0.0,1.0,450.0,0.65625,0.625
chirp,psk,coarse_sync,severe_positive_drift,not_reached,0,4,0.560546875,0.439453125,0.0,1.0,750.0,0.5703125,0.546875
chirp,psk,raw_no_sync,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0
chirp,psk,raw_no_sync,combined_drift_timing,not_reached,0,4,0.197265625,0.802734375,0.0,0.0,450.0,0.21875,0.171875
chirp,psk,raw_no_sync,moderate_negative_drift,not_reached,0,4,0.6484375,0.3515625,0.0,1.0,450.0,0.6640625,0.6328125
chirp,psk,raw_no_sync,moderate_positive_drift,not_reached,0,4,0.6484375,0.3515625,0.0,1.0,450.0,0.6484375,0.6484375
chirp,psk,raw_no_sync,severe_positive_drift,not_reached,0,4,0.564453125,0.435546875,0.0,1.0,750.0,0.5703125,0.5625
sine,psk,adaptive_drift,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0
sine,psk,adaptive_drift,combined_drift_timing,not_reached,0,4,0.138671875,0.861328125,0.0,1.0,450.0,0.15625,0.1328125
sine,psk,adaptive_drift,moderate_negative_drift,not_reached,0,4,0.5703125,0.4296875,0.0,1.0,450.0,0.5703125,0.5703125
sine,psk,adaptive_drift,moderate_positive_drift,not_reached,0,4,0.556640625,0.443359375,0.0,1.0,450.0,0.5703125,0.546875
sine,psk,adaptive_drift,severe_positive_drift,not_reached,0,4,0.65234375,0.34765625,0.0,1.0,750.0,0.65625,0.6484375
sine,psk,coarse_sync,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0
sine,psk,coarse_sync,combined_drift_timing,not_reached,0,4,0.15234375,0.84765625,0.0,1.0,450.0,0.1875,0.140625
sine,psk,coarse_sync,moderate_negative_drift,not_reached,0,4,0.568359375,0.431640625,0.0,1.0,450.0,0.578125,0.5546875
sine,psk,coarse_sync,moderate_positive_drift,not_reached,0,4,0.58203125,0.41796875,0.0,1.0,450.0,0.59375,0.5703125
sine,psk,coarse_sync,severe_positive_drift,not_reached,0,4,0.646484375,0.353515625,0.0,1.0,750.0,0.6640625,0.6328125
sine,psk,raw_no_sync,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0
sine,psk,raw_no_sync,combined_drift_timing,not_reached,0,4,0.42578125,0.57421875,0.0,0.0,450.0,0.4453125,0.40625
sine,psk,raw_no_sync,moderate_negative_drift,not_reached,0,4,0.580078125,0.419921875,0.0,1.0,450.0,0.59375,0.5625
sine,psk,raw_no_sync,moderate_positive_drift,not_reached,0,4,0.58203125,0.41796875,0.0,1.0,450.0,0.6015625,0.5703125
sine,psk,raw_no_sync,severe_positive_drift,not_reached,0,4,0.66796875,0.33203125,0.0,1.0,750.0,0.6796875,0.6484375
square,psk,adaptive_drift,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0
square,psk,adaptive_drift,combined_drift_timing,not_reached,0,4,0.3125,0.6875,0.0,1.0,675.0,0.53125,0.1015625
square,psk,adaptive_drift,moderate_negative_drift,not_reached,0,4,0.5625,0.4375,0.0,1.0,450.0,0.5859375,0.546875
square,psk,adaptive_drift,moderate_positive_drift,not_reached,0,4,0.580078125,0.419921875,0.0,1.0,450.0,0.5859375,0.5625
square,psk,adaptive_drift,severe_positive_drift,not_reached,0,4,0.669921875,0.330078125,0.0,1.0,750.0,0.6953125,0.6484375
square,psk,coarse_sync,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0
square,psk,coarse_sync,combined_drift_timing,not_reached,0,4,0.220703125,0.779296875,0.0,1.0,562.5,0.5625,0.09375
square,psk,coarse_sync,moderate_negative_drift,not_reached,0,4,0.556640625,0.443359375,0.0,1.0,450.0,0.5703125,0.546875
square,psk,coarse_sync,moderate_positive_drift,not_reached,0,4,0.58203125,0.41796875,0.0,1.0,450.0,0.59375,0.5625
square,psk,coarse_sync,severe_positive_drift,not_reached,0,4,0.673828125,0.326171875,0.0,1.0,750.0,0.6875,0.65625
square,psk,raw_no_sync,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0
square,psk,raw_no_sync,combined_drift_timing,not_reached,0,4,0.423828125,0.576171875,0.0,0.0,450.0,0.4453125,0.3984375
square,psk,raw_no_sync,moderate_negative_drift,not_reached,0,4,0.548828125,0.451171875,0.0,1.0,450.0,0.5546875,0.5390625
square,psk,raw_no_sync,moderate_positive_drift,not_reached,0,4,0.572265625,0.427734375,0.0,1.0,450.0,0.6015625,0.546875
square,psk,raw_no_sync,severe_positive_drift,not_reached,0,4,0.66796875,0.33203125,0.0,1.0,750.0,0.6796875,0.6328125
triangle,psk,adaptive_drift,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0
triangle,psk,adaptive_drift,combined_drift_timing,not_reached,0,4,0.150390625,0.849609375,0.0,1.0,450.0,0.171875,0.125
triangle,psk,adaptive_drift,moderate_negative_drift,not_reached,0,4,0.583984375,0.416015625,0.0,1.0,450.0,0.59375,0.578125
triangle,psk,adaptive_drift,moderate_positive_drift,not_reached,0,4,0.59765625,0.40234375,0.0,1.0,450.0,0.609375,0.5859375
triangle,psk,adaptive_drift,severe_positive_drift,not_reached,0,4,0.662109375,0.337890625,0.0,1.0,750.0,0.6796875,0.6484375
triangle,psk,coarse_sync,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0
triangle,psk,coarse_sync,combined_drift_timing,not_reached,0,4,0.20703125,0.79296875,0.0,1.0,450.0,0.359375,0.1484375
triangle,psk,coarse_sync,moderate_negative_drift,not_reached,0,4,0.5859375,0.4140625,0.0,1.0,450.0,0.6015625,0.578125
triangle,psk,coarse_sync,moderate_positive_drift,not_reached,0,4,0.58203125,0.41796875,0.0,1.0,450.0,0.59375,0.5703125
triangle,psk,coarse_sync,severe_positive_drift,not_reached,0,4,0.65625,0.34375,0.0,1.0,750.0,0.6640625,0.6484375
triangle,psk,raw_no_sync,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0
triangle,psk,raw_no_sync,combined_drift_timing,not_reached,0,4,0.412109375,0.587890625,0.0,0.0,450.0,0.421875,0.3984375
triangle,psk,raw_no_sync,moderate_negative_drift,not_reached,0,4,0.58203125,0.41796875,0.0,1.0,450.0,0.5859375,0.578125
triangle,psk,raw_no_sync,moderate_positive_drift,not_reached,0,4,0.591796875,0.408203125,0.0,1.0,450.0,0.6015625,0.5859375
triangle,psk,raw_no_sync,severe_positive_drift,not_reached,0,4,0.662109375,0.337890625,0.0,1.0,750.0,0.6796875,0.6484375
