waveform,modulation,stress_profile,preamble_only_average_ber,pilot_tracking_average_ber,pilot_vs_preamble_ber_improvement,preamble_only_threshold_snr_db,pilot_tracking_threshold_snr_db,pilot_tracking_sync_ber,pilot_tracking_pilot_match_rate,pilot_tracking_abs_frequency_error_ppm
chirp,fsk,baseline_awgn,0.0,0.0,0.0,-4.0,-4.0,0.0,1.0,0.0
chirp,fsk,combined_drift_timing,0.0947265625,0.0517578125,0.04296875,not_reached,not_reached,0.0,1.0,300.0
chirp,fsk,moderate_negative_drift,0.0673828125,0.015625,0.0517578125,not_reached,-4.0,0.0,1.0,175.0
chirp,fsk,moderate_positive_drift,0.0576171875,0.05078125,0.0068359375,not_reached,not_reached,0.0,1.0,487.5
chirp,fsk,severe_positive_drift,0.08203125,0.07421875,0.0078125,not_reached,not_reached,0.0,1.0,812.5
chirp,psk,baseline_awgn,0.0,0.0,0.0,-4.0,-4.0,0.0,1.0,0.0
chirp,psk,combined_drift_timing,0.435546875,0.001953125,0.43359375,not_reached,0.0,0.0,1.0,237.5
chirp,psk,moderate_negative_drift,0.712890625,0.009765625,0.703125,not_reached,0.0,0.0,1.0,137.5
chirp,psk,moderate_positive_drift,0.7099609375,0.015625,0.6943359375,not_reached,8.0,0.0,1.0,150.0
chirp,psk,severe_positive_drift,0.4345703125,0.005859375,0.4287109375,not_reached,4.0,0.0,1.0,150.0
sine,psk,baseline_awgn,0.0,0.0,0.0,-4.0,-4.0,0.0,1.0,0.0
sine,psk,combined_drift_timing,0.3544921875,0.0322265625,0.322265625,not_reached,-4.0,0.0,1.0,287.5
sine,psk,moderate_negative_drift,0.6416015625,0.001953125,0.6396484375,not_reached,-4.0,0.0,1.0,150.0
sine,psk,moderate_positive_drift,0.6416015625,0.0,0.6416015625,not_reached,-4.0,0.0,1.0,150.0
sine,psk,severe_positive_drift,0.52734375,0.0,0.52734375,not_reached,-4.0,0.0,1.0,150.0
square,psk,baseline_awgn,0.0,0.0,0.0,-4.0,-4.0,0.0,1.0,0.0
square,psk,combined_drift_timing,0.3173828125,0.025390625,0.2919921875,not_reached,-4.0,0.0,1.0,287.5
square,psk,moderate_negative_drift,0.619140625,0.0029296875,0.6162109375,not_reached,0.0,0.0,1.0,137.5
square,psk,moderate_positive_drift,0.6513671875,0.0029296875,0.6484375,not_reached,0.0,0.0,1.0,150.0
square,psk,severe_positive_drift,0.53515625,0.0029296875,0.5322265625,not_reached,-4.0,0.0,1.0,150.0
triangle,psk,baseline_awgn,0.0,0.0,0.0,-4.0,-4.0,0.0,1.0,0.0
triangle,psk,combined_drift_timing,0.2802734375,0.060546875,0.2197265625,not_reached,not_reached,0.0,1.0,312.5
triangle,psk,moderate_negative_drift,0.65234375,0.001953125,0.650390625,not_reached,-4.0,0.0,1.0,150.0
triangle,psk,moderate_positive_drift,0.63671875,0.0048828125,0.6318359375,not_reached,0.0,0.0,1.0,150.0
triangle,psk,severe_positive_drift,0.533203125,0.001953125,0.53125,not_reached,-4.0,0.0,1.0,150.0
